x,y,z
-7.08987,11.4101,-0.6944
-11.8633,23.5498,-0.994835
-3.19848,2.24013,-0.424168
-6.30404,9.68473,-0.639497
1.33049,4.34694,-0.452255
-5.13841,6.89381,-0.552579
-4.54138,5.4899,-0.50363
-8.80344,28.0376,-1.04998
-2.67395,13.2631,-0.672397
-1.0491,9.52795,-0.555778
-1.92876,11.7256,-0.631178
-10.7112,33.1965,-1.24629
-8.3356,14.8394,-0.845856
-7.73476,13.1991,-0.760285
-0.0804604,7.44414,-0.516166
-12.9863,26.0343,-1.03948
-3.43464,15.0919,-0.769203
-5.59277,8.1555,-0.581814
-7.57427,25.2227,-0.986967
-3.78245,3.71124,-0.484232
-10.2634,19.2456,-0.855417
-4.93964,18.4929,-0.750704
-5.7124,20.5276,-0.835666
-9.19458,17.0973,-0.829158
0.717561,5.78164,-0.464285
12.4348,19.8662,-0.485755
-6.64403,22.9492,-0.937008
-10.9642,20.9322,-0.926741
2.10521,2.59055,-0.408947
